YEAR,MONTH,DISTRICT,Brightness,Confidence,ThermalData,FRP,Fire_Count
2013,1,NAWALPARASI,311.3,70.0,298.2,8.2,1
2013,1,PYUTHAN,308.4,67.0,288.2,10.5,1
2013,1,RASUWA,312.14,69.8,280.9,73.30000000000001,5
2013,1,RAUTAHAT,302.6,53.0,291.5,3.5,1
2013,1,RUKUM,308.9166666666667,53.5,289.18333333333334,79.0,6
2013,1,SAPTARI,308.45,54.5,295.25,32.5,2
2013,1,SINDHUPALCHOK,325.5,84.0,290.4,25.4,1
2013,1,SOLUKHUMBU,307.24,56.0,289.1,68.8,5
2013,1,SUNSARI,312.3333333333333,53.333333333333336,298.73333333333335,41.8,3
2013,1,SYANGJA,304.0,41.0,292.8,4.7,1
2013,1,TAPLEJUNG,309.95000000000005,52.5,274.3,26.1,2
2013,2,BAJHANG,308.54999999999995,60.5,288.35,20.7,2
2013,2,BARA,310.25,47.5,298.85,18.8,2
2013,2,CHITAWAN,313.61481481481485,57.2962962962963,298.04814814814813,411.8,27
2013,2,GORKHA,305.25,35.0,291.5,14.2,2
2013,2,JHAPA,316.6,64.0,302.1,7.6,1
2013,2,KANCHANPUR,309.7333333333333,61.666666666666664,297.73333333333335,22.9,3
2013,2,MAHOTTARI,319.54999999999995,58.0,303.65,17.4,2
2013,2,MORANG,314.4,43.0,302.9,4.8,1
2013,2,MUGU,307.9,39.0,294.2,8.2,1
2013,2,NAWALPARASI,313.2,61.0,297.9,8.7,1
2013,2,NUWAKOT,313.45,71.0,296.15,18.5,2
2013,2,PANCHTHAR,313.0333333333333,56.0,295.93333333333334,113.9,3
2013,2,RUKUM,317.525,68.5,291.8,83.9,4
2013,2,SANKHUWASABHA,312.0066666666666,57.0,292.15333333333336,299.0,15
2013,2,SARLAHI,315.3666666666666,61.666666666666664,301.09999999999997,29.4,3
2013,2,SINDHUPALCHOK,321.85,81.0,290.25,39.0,2
2013,2,SIRAHA,312.9,45.0,301.9,5.6,1
2013,2,SOLUKHUMBU,300.8,23.0,289.9,9.0,1
2013,2,SUNSARI,324.7,80.0,298.1666666666667,80.80000000000001,3
2013,2,TAPLEJUNG,312.625,66.25,289.2,76.7,4
2013,2,TERHATHUM,314.08000000000004,53.0,299.06,71.8,5
2013,2,UDAYAPUR,314.6,64.5,296.6,23.299999999999997,2
2013,3,BAJURA,311.15,65.0,288.4,21.4,2
